player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
A. Canobbio,MF,90,1,1,1,0,0,0,34,2,6,0,0,4,0,0,0,2,0,0,0
F. Valverde,MF,90,0,0,4,3,0,0,62,2,1,1,0,0,0,0,0,2,0,0,0
M. Araújo,MF,81,1,1,1,0,0,1,16,7,1,0,1,1,2,0,0,2,0,0,0
Kevin Pina,MF,71,1,1,0,0,0,0,25,0,2,1,0,1,0,0,0,2,0,0,0
R. Bentancur,MF,90,0,0,0,2,0,0,57,1,2,4,1,3,0,1,0,2,0,0,0
M. Olivera,DF,90,0,0,0,0,0,0,80,1,1,1,0,1,0,1,0,2,0,0,0
Pico Lopes,DF,90,0,0,1,0,0,0,34,0,3,1,0,0,0,0,0,2,0,0,0
Hélio Varela,Sub,32,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
S. Cáceres,DF,90,0,0,0,1,0,0,66,0,1,0,0,1,0,0,0,2,0,0,0
Sidny Cabral,DF,90,0,0,1,1,0,0,17,4,2,1,5,1,0,1,0,2,0,0,0
G. Varela,DF,90,0,0,0,0,0,0,45,2,2,1,0,0,0,0,0,2,0,0,0
Diney Borges,DF,90,0,0,1,0,0,0,39,0,2,1,0,0,0,1,0,2,0,0,0
Jamiro Monteiro,MF,80,0,0,1,1,0,0,23,1,0,2,1,0,0,0,0,2,0,0,0
M. Ugarte,MF,70,0,0,1,0,0,0,60,0,0,0,0,1,0,0,0,2,0,0,0
Steven Moreira,DF,90,0,0,0,0,0,0,23,0,3,1,0,0,0,0,0,2,0,0,0
Laros Duarte,Sub,19,0,2,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
N. de la Cruz,Sub,20,0,0,1,0,0,0,12,1,1,1,1,0,0,0,0,0,0,0,0
Ryan Mendes,MF,90,0,0,0,2,0,0,16,0,0,2,0,0,0,0,0,2,0,0,0
Deroy Duarte,Sub,45,0,0,0,0,0,0,10,0,2,2,0,1,0,0,0,0,0,0,0
J. Sanabria,DF,90,0,0,0,0,0,0,37,7,0,0,0,0,0,0,0,2,0,0,0
Yannick Semedo,Sub,10,0,0,0,0,0,0,13,0,1,1,1,1,0,0,0,0,0,0,0
B. Rodríguez,Sub,9,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
Garry Rodrigues,MF,58,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,2,0,0,0
D. Núñez,Sub,20,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Nuno da Costa,Sub,32,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0
F. Muslera,GK,90,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,2,0
Telmo Arcanjo,MF,45,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,2,0,0,0
Gilson Benchimol,FW,58,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0
F. Viñas,FW,70,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,2,0,0,0
Vozinha,GK,90,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0
