player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,P_norm,Rating,Match
Diney Borges,DF,90,0,1,0,0,0,0,40,0,5,2,0,0,0,0,0,0,0,0,0,0.9523809523809523,7.3,Cabo Verde - vs Spain
Kevin Pina,MF,90,0,0,0,1,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0.47619047619047616,6.8,Cabo Verde - vs Spain
Pico Lopes,DF,90,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0.9761904761904762,6.6,Cabo Verde - vs Spain
Jamiro Monteiro,MF,79,0,0,0,0,0,0,21,0,3,2,0,0,0,0,0,0,0,0,0,0.5,6.5,Cabo Verde - vs Spain
Steven Moreira,DF,90,0,0,0,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0.6428571428571429,6.5,Cabo Verde - vs Spain
Sidny Cabral,DF,76,0,0,0,0,0,0,17,1,2,2,2,1,0,1,0,0,0,0,0,0.40476190476190477,6.5,Cabo Verde - vs Spain
Jovane Cabral,MF,61,0,0,1,0,0,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0.30952380952380953,6.4,Cabo Verde - vs Spain
Ryan Mendes,MF,90,0,0,1,0,0,0,18,0,2,0,2,0,2,0,0,0,0,0,0,0.42857142857142855,6.4,Cabo Verde - vs Spain
Laros Duarte,MF,61,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,6.1,Cabo Verde - vs Spain
João Paulo,Sub,14,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0.07142857142857142,6.1,Cabo Verde - vs Spain
Vozinha,GK,90,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,7,0,1.0,6.0,Cabo Verde - vs Spain
Willy Semedo,Sub,29,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0.21428571428571427,6.0,Cabo Verde - vs Spain
Dailon Livramento,FW,61,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0.09523809523809523,6.0,Cabo Verde - vs Spain
Nuno da Costa,Sub,29,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0.14285714285714285,5.9,Cabo Verde - vs Spain
Deroy Duarte,Sub,29,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0.19047619047619047,5.9,Cabo Verde - vs Spain
Telmo Arcanjo,Sub,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616,5.8,Cabo Verde - vs Spain
